source_file,field,category,route_or_role,selector_allowed,recommended_formula_route
__category_summary__,continuous_minute,continuous_minute,,,258
__category_summary__,coverage_sensitive,coverage_sensitive,,,25803
__category_summary__,discrete_state,discrete_state,,,539
__category_summary__,firstn_minute_derived,firstn_minute_derived,,,147
__category_summary__,membership_or_group_key,membership_or_group_key,,,581
__category_summary__,sparse_event,sparse_event,,,956
__category_summary__,text_or_label,text_or_label,,,811
__category_summary__,timestamp_or_key,timestamp_or_key,,,1775
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCEPT_DEPOSIT,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCEPT_DEPOSIT_INTERBANK,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCEPT_DEPOSIT_INTERBANK_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCEPT_DEPOSIT_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCOUNTS_PAYABLE,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCOUNTS_PAYABLE_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCOUNTS_RECE,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCOUNTS_RECE_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCRUED_EXPENSE,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ACCRUED_EXPENSE_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_PREMIUM,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_PREMIUM_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_RECE,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_RECEIVABLES,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_RECEIVABLES_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\field_integration_completeness.csv,ADVANCE_RECE_YOY,coverage_sensitive,announcement_pit_feature,candidate_after_pit_contract,coverage_guard_or_bounded_factor_pack
