candidate_id,expression_hash,expression,generator_arm,round_id,factor_lane,aligned_ic_mean,aligned_spread_mean,spread_hit_rate,positive_horizon_count,mean_one_way_turnover,blocker_flags,run,source_file,proxy_sortino,mcmc_sortino_median,mcmc_prob_sortino_gt_0,reward_audit_decision,phase3ca_proxy_quality,metric_boundary,generator_route,seed,parent_id,mutation_type,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,train_reward,train_reward_decision,train_reward_blockers,optimizer_reward,optimizer_reward_source,optimizer_reward_metric,optimizer_reward_split,validation_usage,holdout_usage,validation_day_sortino,validation_mcmc_prob_gt_0,holdout_day_sortino,holdout_mcmc_prob_gt_0,train_mean_one_way_turnover,phase3ei_prior_short_policy,phase3ei_source_path,phase3ei_prior_metric,phase3ei_prior_score,phase3ei_prior_decision,phase3ei_prior_decision_priority,phase3ei_recheck_required,phase3ei_required_portfolio_mode,source_round,source_generator,source_lane,fields,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,validation_day_mcmc_prob_gt_0,holdout_day_mcmc_prob_gt_0,inherited_blockers,parallel_chunk_id,train_rank_ic_mean,train_rank_ic_hit_rate,train_rank_ic_loss,train_rank_ic_reward_component,train_rank_ic_obs,train_regime_stability_score,train_regime_reward_component,train_regime_worst_day_sortino,train_regime_median_day_sortino,train_regime_positive_share,train_regime_count,train_regime_method,train_regime_rows,validation_rank_ic_mean,validation_rank_ic_loss,holdout_rank_ic_mean,holdout_rank_ic_loss,phase3eh_oos_usage,budget_status,budget_score,budget_reason,family_key,seed_quota_status,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note,typed_gate_decision,typed_gate_reason,registry_version,phase3cp_scheduler_source,abs_aligned_ic_mean,phase3bp_blocker_flags,phase3cp_rank,cem_prior_score,phase3cp_real_cm_loop,cm_required_fields,cm_field_gate_decision,cm_missing_fields,cm_turnover_proxy,cm_turnover_proxy_max,phase3dv_lane,phase3dv_seed_status,phase3dv_seed_budget_score,typed_gate_registry_version
cn4_clean_reward_fixture,cn4_clean_reward_hash,"Rank(Mean($m1_first_ret,5)) - Rank(Std($range_location,10))",cem_exploit,round1_synthetic_fresh,true1min_opening_range,0.051,0.0012,0.57,3,0.34,,synthetic_search,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3cx_integrated_train_only_feedback_smoke_20260626\synthetic_search\round1_synthetic_fresh\cn4_top_decisions.csv,0.3342,0.3342,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.3342,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3cx_integrated_train_only_feedback_smoke_20260626\synthetic_search\round1_synthetic_fresh\cn4_top_decisions.csv,,,,opening_state+range_location,cross_sectional+time_series,opening_state,multi_or_unknown,low_turnover,5cb2d01478fef46431,a4d1192fb9c8ab84d9,9736dd170ba9,0.3342,0.38,TRAIN_REWARD_FOLLOWUP_READY,,0.38,train_only_phase3cm,train_portfolio_sortino_reward,train,report_only,report_only,0.24,0.62,-0.11,0.44,0.34,legacy_assume_long_short_recheck_required,runtime\phase3cx_integrated_train_only_feedback_smoke_20260626\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.38,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase3cp_03445,f3bc9698450d8d8b0e9781c3,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",challenger_repair,challenger_repair/round1_scheduler_controlled,typed_lagged_context::coverage_guarded_context::context_inverted,0.03686547,,0.55161166,,0.58,,search_outputs,,,,,,0.21757953,,future-phase3cr-repair,,,,generic_price_volume,cross_sectional+state_transform,none,multi_or_unknown,medium_turnover,4f8daa5f9d82a2f649,5c6abc41a1601e3e22,6e81ba755033,0.03686547,0.37966456,TRAIN_REWARD_FOLLOWUP_READY,,,,,,,,-0.29240887,0.075,0.03383056,0.51833333,0.02161538,legacy_assume_long_short_recheck_required,reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw2_lan_wide_fresh_realcm_20260626\phase3cm_train_reward.csv,train_reward,0.37966456,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,challenger_repair/round1_scheduler_controlled,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,ctx_ths_hot_last_price,0.476396,0.476396,0.22115462,0.36111719,0.08332383,0.31179054,0.99333333,0.075,0.51833333,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase3dv_00353,3373fb56bca18a8f2ae40388,"CSRank(Sub(Neg(CSRank(StateDwell($evt_uplimit_active,40))),CSRank(ValidRatioGate($ctx_hfq_pe_ttm,60,0.5))))",phase3dv_budget_pool_self_deepen,phase3dv_lane_d_fresh_self_deepen,,,,,,0.14,,,,,,,,0,,phase3dv-budget-pool-self-deepen-pack,,,,limit_event_state,cross_sectional+arithmetic+state_transform,none,multi_or_unknown,low_turnover,cddbafb2f7c0c18cdf,fa0d7ca7c3a2571593,e2371809680c,0,0.36619046,TRAIN_REWARD_FOLLOWUP_READY,,0.36619046,train_only_phase3cm,train_portfolio_sortino_rankic_regime_composite_reward,train,,,,,,,0.04125333,legacy_assume_long_short_recheck_required,runtime\phase3eh_stage0_trainonly_wide_dv_pack_20260704\phase3dv_seed_budget_table.csv,train_reward,0.36619046,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,phase3dv_lane_d_fresh_self_deepen,,,,0.33749644,0.33749644,0.18773406,0.25516547,0.0628708,0.15271901,0.94833333,,,,,0.01105923,0.63793103,-0.01105923,0.06635538,58,0.45918407,0.03673473,0.16797549,0.18924068,1.0,3,market_return_tercile,"[{""day_count"": 19, ""day_sortino"": 0.16797549, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": 0.18924068, ""regime"": ""market_mid""}, {""day_count"": 20, ""day_sortino"": 0.62004523, ""regime"": ""market_up""}]",,,,,blanked_before_next_pack_generation,global_survivor,0.45236941,clean_train_reward_median_horizon_mcmc,other_event|other_ctx|event_state,global_survivor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase3cp_03454,d414a051a71e40edc9e2896e,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",challenger_repair,challenger_repair/round1_scheduler_controlled,typed_lagged_context::coverage_guarded_context::context_inverted,0.03686547,,0.55161166,,0.58,,search_outputs,,,,,,0.21757953,,future-phase3cr-repair,,,,generic_price_volume,cross_sectional+state_transform,none,multi_or_unknown,medium_turnover,11658d0a9e54a07880,281c904ef78060d605,c82c5e00a913,0.03686547,0.33203298,TRAIN_REWARD_FOLLOWUP_READY,,,,,,,,-0.25258872,0.09666667,0.99761096,0.995,0.03816654,legacy_assume_long_short_recheck_required,reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw2_lan_wide_fresh_realcm_20260626\phase3cm_train_reward.csv,train_reward,0.33203298,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,challenger_repair/round1_scheduler_controlled,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,ctx_ths_hot_last_pct,0.4100467,0.4100467,0.18618746,0.26448638,0.16672507,0.29980217,0.99833333,0.09666667,0.995,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase3cp_14118,6a07767e34de2c9c60841a0f,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))),CSRank(MaskedCorr($ctx_sent_lb_2_num,$vwap,20,0.8))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::coverage_guarded_relation_w20::signed_state,0.04148783,0.00041488,0.55808296,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24688851,0.24688851,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24688851,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,limit_event_state+range_location,cross_sectional+time_series+arithmetic+state_transform,high_board,multi_or_unknown,medium_turnover,54b01878b5d0ada434,f42c9d6d8ded059099,521fdbb34ef3,0.04148783,0.19975108,TRAIN_REWARD_FOLLOWUP_READY,,0.19975108,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09987554,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19975108,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,close|ctx_sent_lb_2_num|high|low|vwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['close', 'ctx_sent_lb_2_num', 'high', 'low', 'vwap']",20,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N)))),CSRank(MaskedCorr($F,$F,N,N))))",CSRank>Mul>Sign>ZScore>Sub>Div>Sub>Add>Abs>Sub,Abs:2|Add:2|CSRank:2|Div:2|MaskedCorr:1|Mean:1|Mul:1|Sign:1|Sub:5|ZScore:1,CSRank,10,depth_gt_8,18,opcount_gt_12,5,fieldcount_le_6,2,wincount_le_2,20,maxwin_le_30,25,complexity_gt_18,phase3bp:6a07767e34de2c9c60841a0f,0.32398585,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_8 x ctx_sent_lb_2_num_masked_corr_vwap_20_0p8 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04148783,,14118,0.31471185,,,,,,,,,,
phase3cp_14250,446a79f6faff3a488d2edc56,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Div(Mean($amount,10),Add(Abs(Mean($amount,30)),0.000001)))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_opening_divergence::rx_flow_amount_volume::signed_state,0.04131361,0.00041314,0.55783905,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24629286,0.24629286,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24629286,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b178c690760be3bd6a,04811a4a1518aae748,d26481aafc8a,0.04131361,0.19970343,TRAIN_REWARD_FOLLOWUP_READY,,0.19970343,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09985171,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19970343,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,amount|m1_first5_last_close|open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['amount', 'm1_first5_last_close', 'open']",30,"CSRank(Mul(Sign(ZScore(Div(Sub($F,$F),Add(Abs($F),N)))),ZScore(Div(Mean($F,N),Add(Abs(Mean($F,N)),N)))))",CSRank>Mul>Sign>ZScore>Div>Sub>Add>Abs>ZScore>Div,Abs:2|Add:2|CSRank:1|Div:2|Mean:2|Mul:1|Sign:1|Sub:1|ZScore:2,CSRank,7,depth_le_8,14,opcount_gt_12,3,fieldcount_le_4,2,wincount_le_2,30,maxwin_le_30,19,complexity_gt_18,phase3bp:446a79f6faff3a488d2edc56,0.30946741,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction m1_first5_last_close_gap x amount_curve_10_30 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04131361,,14250,0.29817241,,,,,,,,,,
phase3cp_14182,1ba61bd56ec3aa76b71ab04d,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),CSRank(MaskedCorr($ctx_rzrq_rzjme,$vwap,20,0.6))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::coverage_guarded_relation_w20::signed_state,0.04130466,0.00041305,0.55782653,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24626221,0.24626221,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24626221,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,lagged_context+range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,4d7cb334644c659c8e,83731a88b21c45fdf6,d1d4777d2282,0.04130466,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,,0.19970098,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09985049,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,close|ctx_rzrq_rzjme|high|low|vwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['close', 'ctx_rzrq_rzjme', 'high', 'low', 'vwap']",30,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N)))),CSRank(MaskedCorr($F,$F,N,N))))",CSRank>Mul>Sign>ZScore>Sub>Div>Sub>Add>Abs>Sub,Abs:2|Add:2|CSRank:2|Div:2|MaskedCorr:1|Mean:1|Mul:1|Sign:1|Sub:5|ZScore:1,CSRank,10,depth_gt_8,18,opcount_gt_12,5,fieldcount_le_6,3,wincount_le_4,30,maxwin_le_30,26,complexity_gt_18,phase3bp:1ba61bd56ec3aa76b71ab04d,0.30872186,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_30 x ctx_rzrq_rzjme_masked_corr_vwap_20_0p6 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04130466,,14182,0.29971686,,,,,,,,,,
phase3cp_14186,98b194304b33302702b759f1,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),CSRank(MaskedCorr($ctx_billboard_accum_amount,$vwap,20,0.6))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::coverage_guarded_relation_w20::signed_state,0.04130466,0.00041305,0.55782653,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24626221,0.24626221,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24626221,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,flow_amount_volume+lagged_context+limit_event_state+range_location,cross_sectional+time_series+arithmetic+state_transform,board_transition,multi_or_unknown,medium_turnover,b3afd1b943ab4d3099,4a21f63f935aec5a83,f786e400d544,0.04130466,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,,0.19970098,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09985049,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,close|ctx_billboard_accum_amount|high|low|vwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['close', 'ctx_billboard_accum_amount', 'high', 'low', 'vwap']",30,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N)))),CSRank(MaskedCorr($F,$F,N,N))))",CSRank>Mul>Sign>ZScore>Sub>Div>Sub>Add>Abs>Sub,Abs:2|Add:2|CSRank:2|Div:2|MaskedCorr:1|Mean:1|Mul:1|Sign:1|Sub:5|ZScore:1,CSRank,10,depth_gt_8,18,opcount_gt_12,5,fieldcount_le_6,3,wincount_le_4,30,maxwin_le_30,26,complexity_gt_18,phase3bp:98b194304b33302702b759f1,0.30872186,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_30 x ctx_billboard_accum_amount_masked_corr_vwap_20_0p6 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04130466,,14186,0.29965386,,,,,,,,,,
phase3cp_14224,8c6eb725a6f68c63b2a5d398,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),CSRank(MaskedCorr($ctx_hfq_prev_is_limit_up,$vwap,20,0.6))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::coverage_guarded_relation_w20::signed_state,0.04130466,0.00041305,0.55782653,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24626221,0.24626221,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24626221,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,limit_event_state+range_location,cross_sectional+time_series+arithmetic+state_transform,limit_up,multi_or_unknown,medium_turnover,a286fa581ceef22706,6a3740ef950790f8f6,7efb9700defa,0.04130466,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,,0.19970098,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09985049,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,close|ctx_hfq_prev_is_limit_up|high|low|vwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['close', 'ctx_hfq_prev_is_limit_up', 'high', 'low', 'vwap']",30,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N)))),CSRank(MaskedCorr($F,$F,N,N))))",CSRank>Mul>Sign>ZScore>Sub>Div>Sub>Add>Abs>Sub,Abs:2|Add:2|CSRank:2|Div:2|MaskedCorr:1|Mean:1|Mul:1|Sign:1|Sub:5|ZScore:1,CSRank,10,depth_gt_8,18,opcount_gt_12,5,fieldcount_le_6,3,wincount_le_4,30,maxwin_le_30,26,complexity_gt_18,phase3bp:8c6eb725a6f68c63b2a5d398,0.30872186,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_30 x ctx_hfq_prev_is_limit_up_masked_corr_vwap_20_0p6 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04130466,,14224,0.29910486,,,,,,,,,,
phase3cp_14234,3d483fb9dea5bd7da8c76680,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),CSRank(MaskedCorr($ctx_rzrq_rzyezb,$vwap,20,0.6))))",typed_ast_fresh,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::coverage_guarded_relation_w20::signed_state,0.04130466,0.00041305,0.55782653,3,0.48,,search_outputs,G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3do_d_local_light_fresh_prep_20260629\search_outputs\typed_ast_fresh\round1_scheduler_controlled\phase3cp_top_decisions.csv,0.24626221,0.24626221,1.0,PHASE3CA_CANDIDATE_FOR_FRAGMENT_REPLAY,0.24626221,Phase3CA proxy ranking only; BZ fragment replay is required before followup.,phase3bt-ast-algorithm-bakeoff,,,scheduler_controlled_smoke,lagged_context+range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,50aa0721c95bc29c6b,7fa0c6cab2cb6d79f1,bfba9f7b04fe,0.04130466,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,,0.19970098,train_only_phase3cm,train_portfolio_sortino_rankic_composite_reward,train,report_only,report_only,0.09985049,0.58,-0.3,0.25,0.48,legacy_assume_long_short_recheck_required,runtime\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,train_reward,0.19970098,TRAIN_REWARD_FOLLOWUP_READY,1,True,long_only_top,,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,close|ctx_rzrq_rzyezb|high|low|vwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['close', 'ctx_rzrq_rzyezb', 'high', 'low', 'vwap']",30,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N)))),CSRank(MaskedCorr($F,$F,N,N))))",CSRank>Mul>Sign>ZScore>Sub>Div>Sub>Add>Abs>Sub,Abs:2|Add:2|CSRank:2|Div:2|MaskedCorr:1|Mean:1|Mul:1|Sign:1|Sub:5|ZScore:1,CSRank,10,depth_gt_8,18,opcount_gt_12,5,fieldcount_le_6,3,wincount_le_4,30,maxwin_le_30,26,complexity_gt_18,phase3bp:3d483fb9dea5bd7da8c76680,0.30872186,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_30 x ctx_rzrq_rzyezb_masked_corr_vwap_20_0p6 signed_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618,phase3co_arm_budget_table,0.04130466,,14234,0.29891286,,,,,,,,,,
