path,suffix,size_bytes,policy_class,reason,short_positive_sample_rows,short_zero_sample_rows,candidate_level,column_count,sample_rows
reports\PHASE3BZ_TO_PHASE3CA_SEARCH_DEFINITION_20260616.md,.md,3873,legacy_assume_long_short_recheck_required,risky phase markdown without long-only marker,0,0,False,,
reports\PHASE3CM_INCREMENTAL_CHECKPOINT_FIX_20260623.md,.md,1297,legacy_assume_long_short_recheck_required,risky phase markdown without long-only marker,0,0,False,,
reports\PHASE3CM_TRAIN_SORTINO_REWARD_CHAIN_20260623.md,.md,2226,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch1\phase3bz_candidate_fragment_summary.csv,.csv,5046,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,27,8
reports\phase3cl_bz_fragment_replay_20260622_batch1\PHASE3BZ_FRAGMENT_REPLAY_AUDIT_20260616.md,.md,3285,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch1\phase3bz_fragment_replay_summary.json,.json,2010,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch2\phase3bz_candidate_fragment_summary.csv,.csv,4764,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,27,8
reports\phase3cl_bz_fragment_replay_20260622_batch2\PHASE3BZ_FRAGMENT_REPLAY_AUDIT_20260616.md,.md,3131,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch2\phase3bz_fragment_replay_summary.json,.json,2017,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch3\phase3bz_candidate_fragment_summary.csv,.csv,4886,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,27,8
reports\phase3cl_bz_fragment_replay_20260622_batch3\PHASE3BZ_FRAGMENT_REPLAY_AUDIT_20260616.md,.md,3147,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch3\phase3bz_fragment_replay_summary.json,.json,2017,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cl_bz_fragment_replay_20260622_batch4\phase3bz_candidate_fragment_summary.csv,.csv,4904,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,27,8
reports\phase3cl_bz_fragment_replay_20260622_batch4\PHASE3BZ_FRAGMENT_REPLAY_AUDIT_20260616.md,.md,3140,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
